rs_lo,rs_hi,btc_acc,W1_sharpe,W1_n,W2_sharpe,W2_n,W2_wr
0.3,0.9,1.0,4.277297952887756,13,13.702964875413334,76,0.6052631578947368
0.4,0.9,1.0,4.277297952887756,13,13.702964875413334,76,0.6052631578947368
0.35,0.9,1.0,4.277297952887756,13,13.702964875413334,76,0.6052631578947368
0.5,0.9,1.0,4.277297952887756,13,13.702964875413334,76,0.6052631578947368
0.45,0.9,1.0,4.277297952887756,13,13.702964875413334,76,0.6052631578947368
0.35,0.85,1.1,2.444040370643115,4,13.679411983604947,43,0.6046511627906976
0.4,0.85,1.0,2.444040370643115,4,13.679411983604947,43,0.6046511627906976
0.4,0.85,1.1,2.444040370643115,4,13.679411983604947,43,0.6046511627906976
0.35,0.85,1.3,,2,13.679411983604947,43,0.6046511627906976
0.35,0.85,1.0,2.444040370643115,4,13.679411983604947,43,0.6046511627906976
0.35,0.85,1.2,5.051237472144821,3,13.679411983604947,43,0.6046511627906976
0.3,0.85,1.1,2.444040370643115,4,13.679411983604947,43,0.6046511627906976
0.3,0.85,1.2,5.051237472144821,3,13.679411983604947,43,0.6046511627906976
0.4,0.85,1.3,,2,13.679411983604947,43,0.6046511627906976
0.4,0.85,1.2,5.051237472144821,3,13.679411983604947,43,0.6046511627906976
0.5,0.85,1.2,5.051237472144821,3,13.679411983604947,43,0.6046511627906976
0.45,0.85,1.1,2.444040370643115,4,13.679411983604947,43,0.6046511627906976
0.45,0.85,1.3,,2,13.679411983604947,43,0.6046511627906976
0.45,0.85,1.0,2.444040370643115,4,13.679411983604947,43,0.6046511627906976
0.5,0.85,1.3,,2,13.679411983604947,43,0.6046511627906976
0.5,0.85,1.1,2.444040370643115,4,13.679411983604947,43,0.6046511627906976
0.45,0.85,1.2,5.051237472144821,3,13.679411983604947,43,0.6046511627906976
0.5,0.85,1.0,2.444040370643115,4,13.679411983604947,43,0.6046511627906976
0.3,0.85,1.0,2.444040370643115,4,13.679411983604947,43,0.6046511627906976
0.3,0.85,1.3,,2,13.679411983604947,43,0.6046511627906976
0.4,0.9,1.1,5.051237472144821,12,13.501543121683042,75,0.6
0.5,0.9,1.1,5.051237472144821,12,13.501543121683042,75,0.6
0.3,0.9,1.1,5.051237472144821,12,13.501543121683042,75,0.6
0.35,0.9,1.1,5.051237472144821,12,13.501543121683042,75,0.6
0.45,0.9,1.1,5.051237472144821,12,13.501543121683042,75,0.6
0.4,0.9,1.2,5.95,11,13.18332497783713,71,0.5915492957746479
0.45,0.9,1.3,5.051237472144822,9,13.18332497783713,71,0.5915492957746479
0.45,0.9,1.2,5.95,11,13.18332497783713,71,0.5915492957746479
0.35,0.9,1.3,5.051237472144822,9,13.18332497783713,71,0.5915492957746479
0.3,0.9,1.2,5.95,11,13.18332497783713,71,0.5915492957746479
0.3,0.9,1.3,5.051237472144822,9,13.18332497783713,71,0.5915492957746479
0.35,0.9,1.2,5.95,11,13.18332497783713,71,0.5915492957746479
0.5,0.9,1.3,5.051237472144822,9,13.18332497783713,71,0.5915492957746479
0.4,0.9,1.3,5.051237472144822,9,13.18332497783713,71,0.5915492957746479
0.5,0.9,1.2,5.95,11,13.18332497783713,71,0.5915492957746479
0.5,0.8,1.0,,0,12.449330637963369,28,0.5714285714285714
0.45,0.8,1.0,,0,12.449330637963369,28,0.5714285714285714
0.5,0.8,1.1,,0,12.449330637963369,28,0.5714285714285714
0.5,0.8,1.3,,0,12.449330637963369,28,0.5714285714285714
0.5,0.8,1.2,,0,12.449330637963369,28,0.5714285714285714
0.4,0.8,1.3,,0,12.449330637963369,28,0.5714285714285714
0.4,0.8,1.2,,0,12.449330637963369,28,0.5714285714285714
0.4,0.8,1.1,,0,12.449330637963369,28,0.5714285714285714
0.4,0.8,1.0,,0,12.449330637963369,28,0.5714285714285714
0.3,0.8,1.2,,0,12.449330637963369,28,0.5714285714285714
0.45,0.8,1.2,,0,12.449330637963369,28,0.5714285714285714
0.45,0.8,1.3,,0,12.449330637963369,28,0.5714285714285714
0.45,0.8,1.1,,0,12.449330637963369,28,0.5714285714285714
0.35,0.8,1.0,,0,12.449330637963369,28,0.5714285714285714
0.35,0.8,1.3,,0,12.449330637963369,28,0.5714285714285714
0.35,0.8,1.2,,0,12.449330637963369,28,0.5714285714285714
0.3,0.8,1.0,,0,12.449330637963369,28,0.5714285714285714
0.35,0.8,1.1,,0,12.449330637963369,28,0.5714285714285714
0.3,0.8,1.3,,0,12.449330637963369,28,0.5714285714285714
0.3,0.8,1.1,,0,12.449330637963369,28,0.5714285714285714
0.3,0.8,1.5,,0,10.053854982045445,24,0.5
0.45,0.8,1.5,,0,10.053854982045445,24,0.5
0.35,0.8,1.5,,0,10.053854982045445,24,0.5
0.4,0.8,1.5,,0,10.053854982045445,24,0.5
0.5,0.8,1.5,,0,10.053854982045445,24,0.5
0.35,0.95,1.3,3.4524543554064335,64,8.645275146673859,164,0.4695121951219512
0.4,0.95,1.3,3.4524543554064335,64,8.645275146673859,164,0.4695121951219512
0.45,0.95,1.3,3.4524543554064335,64,8.645275146673859,164,0.4695121951219512
0.3,0.95,1.3,3.4524543554064335,64,8.645275146673859,164,0.4695121951219512
0.5,0.95,1.3,3.4524543554064335,64,8.645275146673859,164,0.4695121951219512
0.4,0.95,1.2,3.527634325853843,71,8.477364646178762,166,0.463855421686747
0.5,0.95,1.2,3.527634325853843,71,8.477364646178762,166,0.463855421686747
0.45,0.95,1.2,3.527634325853843,71,8.477364646178762,166,0.463855421686747
0.35,0.95,1.2,3.527634325853843,71,8.477364646178762,166,0.463855421686747
0.3,0.95,1.2,3.527634325853843,71,8.477364646178762,166,0.463855421686747
0.4,0.95,1.0,2.878591357896491,80,8.3533613200805,181,0.4585635359116022
0.5,0.95,1.0,2.878591357896491,80,8.3533613200805,181,0.4585635359116022
0.3,0.95,1.0,2.878591357896491,80,8.3533613200805,181,0.4585635359116022
0.45,0.95,1.0,2.878591357896491,80,8.3533613200805,181,0.4585635359116022
0.35,0.95,1.0,2.878591357896491,80,8.3533613200805,181,0.4585635359116022
0.3,0.85,1.5,,2,8.341672494170462,36,0.4444444444444444
0.35,0.85,1.5,,2,8.341672494170462,36,0.4444444444444444
0.4,0.85,1.5,,2,8.341672494170462,36,0.4444444444444444
0.45,0.85,1.5,,2,8.341672494170462,36,0.4444444444444444
0.5,0.85,1.5,,2,8.341672494170462,36,0.4444444444444444
0.4,0.95,1.1,3.2263022025010124,77,8.219232212107622,176,0.45454545454545453
0.45,0.95,1.1,3.2263022025010124,77,8.219232212107622,176,0.45454545454545453
0.5,0.95,1.1,3.2263022025010124,77,8.219232212107622,176,0.45454545454545453
0.35,0.95,1.1,3.2263022025010124,77,8.219232212107622,176,0.45454545454545453
0.3,0.95,1.1,3.2263022025010124,77,8.219232212107622,176,0.45454545454545453
0.3,1.0,1.3,3.9031353833345186,199,8.093201383143535,319,0.4608150470219436
0.35,1.0,1.3,3.9031353833345186,199,8.093201383143535,319,0.4608150470219436
0.5,1.0,1.3,3.9031353833345186,199,8.093201383143535,319,0.4608150470219436
0.45,1.0,1.3,3.9031353833345186,199,8.093201383143535,319,0.4608150470219436
0.4,1.0,1.3,3.9031353833345186,199,8.093201383143535,319,0.4608150470219436
0.3,1.0,1.2,3.8492526836562018,216,7.903928997102127,326,0.4539877300613497
0.35,1.0,1.2,3.8492526836562018,216,7.903928997102127,326,0.4539877300613497
0.5,1.0,1.2,3.8492526836562018,216,7.903928997102127,326,0.4539877300613497
0.45,1.0,1.2,3.8492526836562018,216,7.903928997102127,326,0.4539877300613497
0.4,1.0,1.2,3.8492526836562018,216,7.903928997102127,326,0.4539877300613497
0.4,1.0,1.1,4.016710190455641,229,7.513440426619065,345,0.4405797101449275
0.35,1.0,1.1,4.016710190455641,229,7.513440426619065,345,0.4405797101449275
0.3,1.0,1.1,4.016710190455641,229,7.513440426619065,345,0.4405797101449275
0.5,1.0,1.1,4.016710190455641,229,7.513440426619065,345,0.4405797101449275
0.45,1.0,1.1,4.016710190455641,229,7.513440426619065,345,0.4405797101449275
0.4,1.0,1.0,3.7241605282066526,243,7.392501522414746,361,0.43490304709141275
0.5,1.0,1.0,3.7241605282066526,243,7.392501522414746,361,0.43490304709141275
0.3,1.0,1.0,3.7241605282066526,243,7.392501522414746,361,0.43490304709141275
0.35,1.0,1.0,3.7241605282066526,243,7.392501522414746,361,0.43490304709141275
0.45,1.0,1.0,3.7241605282066526,243,7.392501522414746,361,0.43490304709141275
0.5,0.9,1.5,5.051237472144822,9,7.0208024232751844,60,0.4
0.45,0.9,1.5,5.051237472144822,9,7.0208024232751844,60,0.4
0.4,0.9,1.5,5.051237472144822,9,7.0208024232751844,60,0.4
0.35,0.9,1.5,5.051237472144822,9,7.0208024232751844,60,0.4
0.3,0.9,1.5,5.051237472144822,9,7.0208024232751844,60,0.4
0.3,1.0,1.5,3.3392556347846485,151,6.776637421860941,263,0.4144486692015209
0.35,1.0,1.5,3.3392556347846485,151,6.776637421860941,263,0.4144486692015209
0.45,1.0,1.5,3.3392556347846485,151,6.776637421860941,263,0.4144486692015209
0.4,1.0,1.5,3.3392556347846485,151,6.776637421860941,263,0.4144486692015209
0.5,1.0,1.5,3.3392556347846485,151,6.776637421860941,263,0.4144486692015209
0.3,0.95,1.5,3.3816710345444907,49,5.025496668028192,136,0.34558823529411764
0.35,0.95,1.5,3.3816710345444907,49,5.025496668028192,136,0.34558823529411764
0.4,0.95,1.5,3.3816710345444907,49,5.025496668028192,136,0.34558823529411764
0.45,0.95,1.5,3.3816710345444907,49,5.025496668028192,136,0.34558823529411764
0.5,0.95,1.5,3.3816710345444907,49,5.025496668028192,136,0.34558823529411764
